Data,DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu
23/01/2000,Sun,JAN,23,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
23/01/2000,Sun,JAN,23,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
24/01/2000,Mon,JAN,24,2000,G1,0,0,0,0,0,0,0,0,0,0
24/01/2000,Mon,JAN,24,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
24/01/2000,Mon,JAN,24,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
25/01/2000,Tue,JAN,25,2000,G1,0,0,0,0,0,0,0,0,0,0
25/01/2000,Tue,JAN,25,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
25/01/2000,Tue,JAN,25,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
26/01/2000,Wed,JAN,26,2000,G1,0,0,0,0,0,0,0,0,0,0
26/01/2000,Wed,JAN,26,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
26/01/2000,Wed,JAN,26,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
27/01/2000,Thu,JAN,27,2000,G1,0,0,0,0,0,0,0,0,0,0
27/01/2000,Thu,JAN,27,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
27/01/2000,Thu,JAN,27,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
28/01/2000,Fri,JAN,28,2000,G1,0,0,0,0,0,0,0,0,0,0
28/01/2000,Fri,JAN,28,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
28/01/2000,Fri,JAN,28,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
29/01/2000,Sat,JAN,29,2000,G1,0,0,0,0,0,0,0,0,0,0
29/01/2000,Sat,JAN,29,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
29/01/2000,Sat,JAN,29,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
30/01/2000,Sun,JAN,30,2000,G1,0,0,0,0,0,0,0,0,0,0
30/01/2000,Sun,JAN,30,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
30/01/2000,Sun,JAN,30,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
31/01/2000,Mon,JAN,31,2000,G1,0,0,0,0,0,0,0,0,0,0
31/01/2000,Mon,JAN,31,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
31/01/2000,Mon,JAN,31,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
01/02/2000,Tue,FEV,1,2000,G1,0,0,0,0,0,0,0,0,0,0
01/02/2000,Tue,FEV,1,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
01/02/2000,Tue,FEV,1,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
02/02/2000,Wed,FEV,2,2000,G1,0,0,0,0,0,0,0,0,0,0
02/02/2000,Wed,FEV,2,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
02/02/2000,Wed,FEV,2,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
03/02/2000,Thu,FEV,3,2000,G1,0,0,0,0,0,0,0,0,0,0
03/02/2000,Thu,FEV,3,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
03/02/2000,Thu,FEV,3,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
04/02/2000,Fri,FEV,4,2000,G1,0,0,0,0,0,0,0,0,0,0
04/02/2000,Fri,FEV,4,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
04/02/2000,Fri,FEV,4,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
05/02/2000,Sat,FEV,5,2000,G1,0,0,0,0,0,0,0,0,0,0
05/02/2000,Sat,FEV,5,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
05/02/2000,Sat,FEV,5,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
06/02/2000,Sun,FEV,6,2000,G1,0,0,0,0,0,0,0,0,0,0
06/02/2000,Sun,FEV,6,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
06/02/2000,Sun,FEV,6,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
07/02/2000,Mon,FEV,7,2000,G1,0,0,0,0,0,0,0,0,0,0
07/02/2000,Mon,FEV,7,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
07/02/2000,Mon,FEV,7,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
08/02/2000,Tue,FEV,8,2000,G1,0,0,0,0,0,0,0,0,0,0
08/02/2000,Tue,FEV,8,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
08/02/2000,Tue,FEV,8,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
09/02/2000,Wed,FEV,9,2000,G1,0,0,0,0,0,0,0,0,0,0
09/02/2000,Wed,FEV,9,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
09/02/2000,Wed,FEV,9,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
10/02/2000,Thu,FEV,10,2000,G1,0,0,0,0,0,0,0,0,0,0
10/02/2000,Thu,FEV,10,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
10/02/2000,Thu,FEV,10,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
11/02/2000,Fri,FEV,11,2000,G1,0,0,0,0,0,0,0,0,0,0
11/02/2000,Fri,FEV,11,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
11/02/2000,Fri,FEV,11,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
12/02/2000,Sat,FEV,12,2000,G1,0,0,0,0,0,0,0,0,0,0
12/02/2000,Sat,FEV,12,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
12/02/2000,Sat,FEV,12,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
13/02/2000,Sun,FEV,13,2000,G1,0,0,0,0,0,0,0,0,0,0
13/02/2000,Sun,FEV,13,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
13/02/2000,Sun,FEV,13,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
14/02/2000,Mon,FEV,14,2000,G1,0,0,0,0,0,0,0,0,0,0
14/02/2000,Mon,FEV,14,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
14/02/2000,Mon,FEV,14,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
15/02/2000,Tue,FEV,15,2000,G1,0,0,0,0,0,0,0,0,0,0
15/02/2000,Tue,FEV,15,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
15/02/2000,Tue,FEV,15,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
16/02/2000,Wed,FEV,16,2000,G1,0,0,0,0,0,0,0,0,0,0
16/02/2000,Wed,FEV,16,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
16/02/2000,Wed,FEV,16,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
17/02/2000,Thu,FEV,17,2000,G1,0,0,0,0,0,0,0,0,0,0
