DiadaSemana,Mes,Dia,Ano,Jornal,Quantidade,Comentarios,Tweets,Facebook,LinkedIn,GooglePlus,TotalRepercussao
Fri,JAN,28,2000,ESTADAO,0,0,0,0,0,0,0
Sat,JAN,29,2000,G1,0,0,0,0,0,0,0
Sat,JAN,29,2000,FOLHASP,0,0,0,0,0,0,0
Sat,JAN,29,2000,ESTADAO,0,0,0,0,0,0,0
Sun,JAN,30,2000,G1,0,0,0,0,0,0,0
Sun,JAN,30,2000,FOLHASP,0,0,0,0,0,0,0
Sun,JAN,30,2000,ESTADAO,0,0,0,0,0,0,0
Mon,JAN,31,2000,G1,0,0,0,0,0,0,0
Mon,JAN,31,2000,FOLHASP,0,0,0,0,0,0,0
Mon,JAN,31,2000,ESTADAO,0,0,0,0,0,0,0
Tue,FEV,1,2000,G1,0,0,0,0,0,0,0
Tue,FEV,1,2000,FOLHASP,0,0,0,0,0,0,0
Tue,FEV,1,2000,ESTADAO,0,0,0,0,0,0,0
Wed,FEV,2,2000,G1,0,0,0,0,0,0,0
Wed,FEV,2,2000,FOLHASP,0,0,0,0,0,0,0
Wed,FEV,2,2000,ESTADAO,0,0,0,0,0,0,0
Thu,FEV,3,2000,G1,0,0,0,0,0,0,0
Thu,FEV,3,2000,FOLHASP,0,0,0,0,0,0,0
Thu,FEV,3,2000,ESTADAO,0,0,0,0,0,0,0
Fri,FEV,4,2000,G1,0,0,0,0,0,0,0
Fri,FEV,4,2000,FOLHASP,0,0,0,0,0,0,0
Fri,FEV,4,2000,ESTADAO,0,0,0,0,0,0,0
Sat,FEV,5,2000,G1,0,0,0,0,0,0,0
Sat,FEV,5,2000,FOLHASP,0,0,0,0,0,0,0
Sat,FEV,5,2000,ESTADAO,0,0,0,0,0,0,0
Sun,FEV,6,2000,G1,0,0,0,0,0,0,0
Sun,FEV,6,2000,FOLHASP,0,0,0,0,0,0,0
Sun,FEV,6,2000,ESTADAO,0,0,0,0,0,0,0
Mon,FEV,7,2000,G1,0,0,0,0,0,0,0
Mon,FEV,7,2000,FOLHASP,0,0,0,0,0,0,0
Mon,FEV,7,2000,ESTADAO,0,0,0,0,0,0,0
Tue,FEV,8,2000,G1,0,0,0,0,0,0,0
Tue,FEV,8,2000,FOLHASP,0,0,0,0,0,0,0
Tue,FEV,8,2000,ESTADAO,0,0,0,0,0,0,0
Wed,FEV,9,2000,G1,0,0,0,0,0,0,0
Wed,FEV,9,2000,FOLHASP,0,0,0,0,0,0,0
Wed,FEV,9,2000,ESTADAO,0,0,0,0,0,0,0
Thu,FEV,10,2000,G1,0,0,0,0,0,0,0
Thu,FEV,10,2000,FOLHASP,0,0,0,0,0,0,0
Thu,FEV,10,2000,ESTADAO,0,0,0,0,0,0,0
Fri,FEV,11,2000,G1,0,0,0,0,0,0,0
Fri,FEV,11,2000,FOLHASP,0,0,0,0,0,0,0
Fri,FEV,11,2000,ESTADAO,0,0,0,0,0,0,0
Sat,FEV,12,2000,G1,0,0,0,0,0,0,0
Sat,FEV,12,2000,FOLHASP,0,0,0,0,0,0,0
Sat,FEV,12,2000,ESTADAO,0,0,0,0,0,0,0
Sun,FEV,13,2000,G1,0,0,0,0,0,0,0
Sun,FEV,13,2000,FOLHASP,0,0,0,0,0,0,0
Sun,FEV,13,2000,ESTADAO,0,0,0,0,0,0,0
Mon,FEV,14,2000,G1,0,0,0,0,0,0,0
Mon,FEV,14,2000,FOLHASP,0,0,0,0,0,0,0
Mon,FEV,14,2000,ESTADAO,0,0,0,0,0,0,0
Tue,FEV,15,2000,G1,0,0,0,0,0,0,0
Tue,FEV,15,2000,FOLHASP,0,0,0,0,0,0,0
Tue,FEV,15,2000,ESTADAO,0,0,0,0,0,0,0
Wed,FEV,16,2000,G1,0,0,0,0,0,0,0
Wed,FEV,16,2000,FOLHASP,0,0,0,0,0,0,0
Wed,FEV,16,2000,ESTADAO,0,0,0,0,0,0,0
Thu,FEV,17,2000,G1,0,0,0,0,0,0,0
Thu,FEV,17,2000,FOLHASP,0,0,0,0,0,0,0
Thu,FEV,17,2000,ESTADAO,0,0,0,0,0,0,0
Fri,FEV,18,2000,G1,0,0,0,0,0,0,0
Fri,FEV,18,2000,FOLHASP,0,0,0,0,0,0,0
Fri,FEV,18,2000,ESTADAO,0,0,0,0,0,0,0
Sat,FEV,19,2000,G1,0,0,0,0,0,0,0
Sat,FEV,19,2000,FOLHASP,0,0,0,0,0,0,0
Sat,FEV,19,2000,ESTADAO,0,0,0,0,0,0,0
Sun,FEV,20,2000,G1,0,0,0,0,0,0,0
Sun,FEV,20,2000,FOLHASP,0,0,0,0,0,0,0
Sun,FEV,20,2000,ESTADAO,0,0,0,0,0,0,0
Mon,FEV,21,2000,G1,0,0,0,0,0,0,0
Mon,FEV,21,2000,FOLHASP,0,0,0,0,0,0,0
Mon,FEV,21,2000,ESTADAO,0,0,0,0,0,0,0
Tue,FEV,22,2000,G1,0,0,0,0,0,0,0
Tue,FEV,22,2000,FOLHASP,0,0,0,0,0,0,0
Tue,FEV,22,2000,ESTADAO,0,0,0,0,0,0,0
Wed,FEV,23,2000,G1,0,0,0,0,0,0,0
Wed,FEV,23,2000,FOLHASP,0,0,0,0,0,0,0
Wed,FEV,23,2000,ESTADAO,0,0,0,0,0,0,0
Thu,FEV,24,2000,G1,0,0,0,0,0,0,0
Thu,FEV,24,2000,FOLHASP,0,0,0,0,0,0,0
Thu,FEV,24,2000,ESTADAO,0,0,0,0,0,0,0
Fri,FEV,25,2000,G1,0,0,0,0,0,0,0
Fri,FEV,25,2000,FOLHASP,0,0,0,0,0,0,0
Fri,FEV,25,2000,ESTADAO,0,0,0,0,0,0,0
Sat,FEV,26,2000,G1,0,0,0,0,0,0,0
Sat,FEV,26,2000,FOLHASP,0,0,0,0,0,0,0
Sat,FEV,26,2000,ESTADAO,0,0,0,0,0,0,0
Sun,FEV,27,2000,G1,0,0,0,0,0,0,0
Sun,FEV,27,2000,FOLHASP,0,0,0,0,0,0,0
Sun,FEV,27,2000,ESTADAO,0,0,0,0,0,0,0
Mon,FEV,28,2000,G1,0,0,0,0,0,0,0
Mon,FEV,28,2000,FOLHASP,0,0,0,0,0,0,0
Mon,FEV,28,2000,ESTADAO,0,0,0,0,0,0,0
Tue,FEV,29,2000,G1,0,0,0,0,0,0,0
