data,quantidade
3/19/2014,32
3/18/2014,40
3/17/2014,41
3/16/2014,15
3/15/2014,13
3/14/2014,44
3/13/2014,44
3/12/2014,32
3/11/2014,34
3/10/2014,34
3/9/2014,16
3/8/2014,25
3/7/2014,26
3/6/2014,29
3/5/2014,28
3/4/2014,18
3/3/2014,15
3/2/2014,6
3/1/2014,16
2/28/2014,32
2/27/2014,41
2/26/2014,42
2/25/2014,32
2/24/2014,32
2/22/2014,23
2/21/2014,33
2/20/2014,35
2/19/2014,43
2/18/2014,38
2/17/2014,43
2/15/2014,19
2/14/2014,41
2/13/2014,36
2/12/2014,36
2/11/2014,25
2/10/2014,36
2/8/2014,12
2/7/2014,36
2/6/2014,31
2/5/2014,33
7/6/2014,16
6/28/2014,5
5/24/2014,3
7/24/2013,73
5/4/2012,43
5/3/2012,43
5/2/2012,37
5/4/2014,5
4/20/2014,11
4/19/2014,15
3/23/2014,11
2/23/2014,5
2/16/2014,12
2/9/2014,11
12/28/2012,71
12/27/2012,77
2/4/2014,39
2/3/2014,35
2/2/2014,14
2/1/2014,25
1/31/2014,31
1/30/2014,34
1/29/2014,31
1/28/2014,35
1/27/2014,36
1/24/2014,26
1/23/2014,29
1/22/2014,24
1/21/2014,26
1/20/2014,34
1/19/2014,13
1/18/2014,21
1/17/2014,23
1/16/2014,30
1/15/2014,22
1/14/2014,38
1/13/2014,25
1/12/2014,10
1/11/2014,19
1/10/2014,31
1/9/2014,27
1/8/2014,26
1/7/2014,35
1/6/2014,34
1/5/2014,9
1/4/2014,11
1/3/2014,19
1/2/2014,28
1/1/2014,19
12/31/2013,19
12/30/2013,20
12/29/2013,5
12/27/2013,25
12/26/2013,22
12/25/2013,9
12/23/2013,26
12/22/2013,16
12/21/2013,16
12/20/2013,31
12/19/2013,36
12/18/2013,35
12/17/2013,38
12/16/2013,35
12/15/2013,6
12/14/2013,19
12/13/2013,31
12/12/2013,37
12/11/2013,40
12/10/2013,36
12/9/2013,33
12/8/2013,5
12/7/2013,43
12/6/2013,40
12/5/2013,39
12/4/2013,36
12/3/2013,38
12/2/2013,41
12/1/2013,11
11/30/2013,16
11/29/2013,27
11/28/2013,53
11/27/2013,84
11/26/2013,62
11/25/2013,70
11/24/2013,32
11/23/2013,62
11/22/2013,74
11/21/2013,64
11/20/2013,44
11/19/2013,67
11/18/2013,62
11/17/2013,11
11/16/2013,50
11/15/2013,40
11/14/2013,103
11/13/2013,56
11/12/2013,64
11/11/2013,62
11/10/2013,36
11/9/2013,22
11/8/2013,87
11/7/2013,64
11/6/2013,92
11/5/2013,71
11/4/2013,65
11/2/2013,26
11/1/2013,84
10/31/2013,69
10/30/2013,89
10/29/2013,62
10/28/2013,95
10/26/2013,86
10/25/2013,86
10/24/2013,73
10/23/2013,72
10/22/2013,79
10/21/2013,104
10/19/2013,79
10/18/2013,76
10/17/2013,69
10/16/2013,89
10/15/2013,51
10/14/2013,86
10/12/2013,51
10/11/2013,71
10/10/2013,65
10/9/2013,77
10/8/2013,76
10/7/2013,72
10/5/2013,40
10/4/2013,56
10/3/2013,80
10/2/2013,70
10/1/2013,54
9/30/2013,76
9/29/2013,30
9/28/2013,77
9/27/2013,63
9/26/2013,60
9/25/2013,68
9/24/2013,50
9/23/2013,82
9/22/2013,17
9/21/2013,67
9/20/2013,77
9/19/2013,59
9/18/2013,88
9/17/2013,67
9/16/2013,73
9/15/2013,14
9/14/2013,44
9/13/2013,46
9/12/2013,86
9/11/2013,70
9/10/2013,74
1/26/2014,4
1/25/2014,16
12/28/2013,14
