"setor","datahora","media","negocios","quantidade_papeis","volume_financeiro"
"Bens Industriais",20080530,7.91,2582,4029300,59170282
"Bens Industriais",20080602,8.15,2551,3086600,42546794
"Bens Industriais",20080603,7.86,2119,2267100,31345889
"Bens Industriais",20080604,8.26,1241,1197200,16201219
"Bens Industriais",20080605,7.34,1189,1166200,14667094
"Bens Industriais",20080606,7.70,2011,1619800,21674225
"Bens Industriais",20080609,7.41,2460,2952400,38050573
"Bens Industriais",20080610,7.44,2036,2594400,33005760
"Bens Industriais",20080611,7.57,1731,1939800,25222152
"Bens Industriais",20080612,7.30,1759,1642500,21060513
"Bens Industriais",20080613,7.52,875,882800,11060833
"Bens Industriais",20080616,8.00,1471,1749300,20604188
"Bens Industriais",20080617,7.14,1972,2696000,32952365
"Bens Industriais",20080618,6.62,3316,3533600,41309359
"Bens Industriais",20080619,6.85,1660,1746900,20455167
"Bens Industriais",20080620,6.77,2228,2447600,29203851
"Bens Industriais",20080623,7.38,1089,1593100,18925463
"Bens Industriais",20080624,6.57,1276,2663800,27256742
"Bens Industriais",20080625,6.55,2877,4447200,49864653
"Bens Industriais",20080626,6.10,1533,1977800,21107410
"Bens Industriais",20080627,6.34,3250,5548000,59632309
"Bens Industriais",20080630,6.11,1118,1794100,17673901
"Bens Industriais",20080701,5.99,1407,1724800,17367455
"Bens Industriais",20080702,5.81,1511,2018600,19363096
"Bens Industriais",20080703,5.61,1369,2050300,19483053
"Bens Industriais",20080704,5.52,785,1010500,9045157
"Bens Industriais",20080707,5.44,1603,1990500,19182014
"Bens Industriais",20080708,6.12,2535,2873600,30930705
"Bens Industriais",20080710,5.94,2299,2494200,26904199
"Bens Industriais",20080711,5.63,1707,1410400,14834250
"Bens Industriais",20080714,6.07,1613,1445300,14776351
"Bens Industriais",20080715,6.07,1952,2176200,22148041
"Bens Industriais",20080716,6.84,1873,2119400,22125839
"Bens Industriais",20080717,6.29,2936,3495700,39588141
"Bens Industriais",20080718,6.45,1894,2608100,27791941
"Bens Industriais",20080721,6.40,1680,1620700,18151279
"Bens Industriais",20080722,6.85,2345,2427600,27616931
"Bens Industriais",20080723,6.65,2048,1730700,20216467
"Bens Industriais",20080724,6.74,2170,2982000,35006722
"Bens Industriais",20080725,6.40,1326,1296400,14585467
"Bens Industriais",20080728,6.42,1441,1345400,15327162
"Bens Industriais",20080729,6.79,2023,1861300,21463623
"Bens Industriais",20080730,6.54,2012,1807300,19837726
"Bens Industriais",20080731,6.68,1518,2051000,19869046
"Bens Industriais",20080801,6.57,3001,2962100,32951723
"Bens Industriais",20080804,6.48,2285,2129900,22303030
