"segmento","hora","media","negocios","quantidade_papeis","volume_financeiro"
"Exploracao de Imoveis",20120511,27.09,8548,2548400,67025856
"Exploracao de Imoveis",20120514,26.74,10875,2810400,68772989
"Exploracao de Imoveis",20120515,26.67,11749,3037000,76096932
"Exploracao de Imoveis",20120516,26.28,15966,5881900,140626926
"Exploracao de Imoveis",20120517,26.72,23697,4775900,115636292
"Exploracao de Imoveis",20120518,25.82,26490,9341600,220801902
"Exploracao de Imoveis",20120521,26.02,26960,6633600,157366592
"Exploracao de Imoveis",20120522,26.03,19871,5523100,133483048
"Exploracao de Imoveis",20120523,25.35,21199,5394600,125139215
"Exploracao de Imoveis",20120524,25.08,21060,5485200,126411208
"Exploracao de Imoveis",20120525,25.56,15223,3287800,80519285
"Exploracao de Imoveis",20120528,27.36,6277,1383800,36750958
"Exploracao de Imoveis",20120529,26.78,24590,6351100,152111072
"Exploracao de Imoveis",20120530,26.80,23617,5527200,130265078
"Exploracao de Imoveis",20120531,26.85,42646,22877300,551041363
"Exploracao de Imoveis",20120601,26.23,16135,4339400,103428955
"Exploracao de Imoveis",20120604,26.26,13049,3788800,89410803
"Exploracao de Imoveis",20120605,26.26,15018,3508600,91128798
"Exploracao de Imoveis",20120606,25.93,13998,3845200,105072729
"Exploracao de Imoveis",20120608,26.63,17868,4052000,104589676
"Exploracao de Imoveis",20120611,26.22,10486,3648200,96822870
"Exploracao de Imoveis",20120612,26.44,9950,2923700,73287415
"Exploracao de Imoveis",20120613,26.92,12525,3467400,85254092
"Exploracao de Imoveis",20120614,27.23,10068,2580400,65792684
"Exploracao de Imoveis",20120615,27.13,10589,4269300,107667946
"Exploracao de Imoveis",20120618,27.99,9498,3031500,79881691
"Exploracao de Imoveis",20120619,28.71,14181,3321200,85973400
"Exploracao de Imoveis",20120620,28.82,10643,3508800,106219608
"Exploracao de Imoveis",20120621,27.80,9452,2526100,66453074
"Exploracao de Imoveis",20120622,27.90,7313,1863500,49347522
"Exploracao de Imoveis",20120625,27.89,5666,1688300,41942337
"Exploracao de Imoveis",20120626,27.68,10183,2940100,72376207
"Exploracao de Imoveis",20120627,27.87,11253,2390600,63582151
"Exploracao de Imoveis",20120628,27.84,11936,3054400,84253315
"Exploracao de Imoveis",20120629,27.90,15978,4907500,128932597
"Exploracao de Imoveis",20120702,27.20,14272,3559900,96507290
"Exploracao de Imoveis",20120703,29.02,12830,3349600,88293262
"Exploracao de Imoveis",20120704,28.88,5236,1196900,31709726
"Exploracao de Imoveis",20120705,28.27,13019,4162400,104197231
"Exploracao de Imoveis",20120706,28.11,8626,2387900,61431047
"Exploracao de Imoveis",20120710,27.92,14938,4020300,106023631
"Exploracao de Imoveis",20120711,28.25,16860,3731400,102237003
"Exploracao de Imoveis",20120712,27.57,13428,4476800,110828123
"Exploracao de Imoveis",20120713,27.83,11382,7279500,191566864
"Exploracao de Imoveis",20120716,27.55,16091,5832300,149755432
"Exploracao de Imoveis",20120717,27.91,11591,2908800,73410860
"Exploracao de Imoveis",20120718,28.18,9729,2373100,56796756
"Exploracao de Imoveis",20120719,29.32,7810,2765200,74538107
"Exploracao de Imoveis",20120720,28.78,16727,5860300,145717408
"Exploracao de Imoveis",20120723,28.15,13302,3143600,93810814
"Exploracao de Imoveis",20120724,28.23,12068,3183800,85103271
"Exploracao de Imoveis",20120725,28.75,9972,3088500,84492043
"Exploracao de Imoveis",20120726,28.15,9984,2193300,58501253
"Exploracao de Imoveis",20120727,28.79,12510,3755100,100481748
"Exploracao de Imoveis",20120730,28.76,7262,2027300,53894091
"Exploracao de Imoveis",20120731,29.69,13559,4402600,121830915
"Exploracao de Imoveis",20120801,29.05,9035,2431700,64390883
"Exploracao de Imoveis",20120802,28.81,11817,3415400,90921173
"Exploracao de Imoveis",20120803,29.52,12735,3195400,88037045
"Exploracao de Imoveis",20120806,29.84,10927,2763000,75287998
"Exploracao de Imoveis",20120807,29.39,9425,2275700,60314286
"Exploracao de Imoveis",20120808,29.46,13479,3252600,89289166
"Exploracao de Imoveis",20120809,28.90,7900,2254500,60660303
"Exploracao de Imoveis",20120810,28.95,11662,2975900,78653077
"Exploracao de Imoveis",20120813,28.52,15957,3793700,100960012
"Exploracao de Imoveis",20120814,29.05,18920,3713700,104610016
"Exploracao de Imoveis",20120815,28.83,17353,5204700,149933785
"Exploracao de Imoveis",20120816,29.01,13934,3437400,91358534
"Exploracao de Imoveis",20120817,28.76,10513,2716300,76857393
"Exploracao de Imoveis",20120820,28.74,8162,1839700,48483762
"Exploracao de Imoveis",20120821,29.07,13109,2717700,72095812
"Exploracao de Imoveis",20120822,29.33,9687,2178600,57658792
"Exploracao de Imoveis",20120823,28.79,11583,2850800,74125321
"Exploracao de Imoveis",20120824,28.85,9127,1849700,51261180
"Exploracao de Imoveis",20120827,29.84,7538,1550500,41125696
"Exploracao de Imoveis",20120828,29.10,10964,3688800,94180534
"Exploracao de Imoveis",20120829,28.97,10491,2219800,59756166
"Exploracao de Imoveis",20120830,29.10,11616,2800100,72822508
"Exploracao de Imoveis",20120831,29.61,17404,4531900,121205927
"Exploracao de Imoveis",20120903,30.14,13249,2573200,71489082
"Exploracao de Imoveis",20120904,31.09,13407,2555500,74168033
"Exploracao de Imoveis",20120905,29.49,10099,2459900,70819298
"Exploracao de Imoveis",20120906,30.11,12002,2512400,67926314
"Exploracao de Imoveis",20120910,31.00,18111,4568700,127746968
"Exploracao de Imoveis",20120911,31.20,21339,4512500,133408735
"Exploracao de Imoveis",20120912,31.30,23170,7206100,200710536
"Exploracao de Imoveis",20120913,31.37,22736,6606100,187476305
"Exploracao de Imoveis",20120914,31.14,32758,10698000,285429919
"Exploracao de Imoveis",20120917,31.36,16351,4374500,127413520
"Exploracao de Imoveis",20120918,31.91,16564,5595000,156284334
"Exploracao de Imoveis",20120919,31.30,11150,4081700,116682545
"Exploracao de Imoveis",20120920,31.60,12320,3930400,119035170
"Exploracao de Imoveis",20120921,32.17,19617,4421500,128557944
"Exploracao de Imoveis",20120924,32.60,20090,4979100,148011436
"Exploracao de Imoveis",20120925,32.49,14980,5156300,151650690
"Exploracao de Imoveis",20120926,33.23,12723,6244800,183234209
"Exploracao de Imoveis",20120927,33.32,19011,5241000,158048451
"Exploracao de Imoveis",20120928,33.24,17251,5511200,166421763
"Exploracao de Imoveis",20121001,32.84,14989,3539900,109932234
"Exploracao de Imoveis",20121002,32.93,17594,3964200,119321078
"Exploracao de Imoveis",20121003,33.57,10559,2111100,62531232
"Exploracao de Imoveis",20121004,33.26,12538,4766600,135421194
"Exploracao de Imoveis",20121005,33.79,15861,4625700,134116558
"Exploracao de Imoveis",20121008,33.56,14431,3954600,120132305
"Exploracao de Imoveis",20121009,33.85,19929,4097300,121456797
"Exploracao de Imoveis",20121010,34.19,13382,3509500,104364236
"Exploracao de Imoveis",20121011,35.60,14104,4710600,139432066
"Exploracao de Imoveis",20121015,34.97,13695,4438200,136106927
"Exploracao de Imoveis",20121016,34.66,12651,4025300,121597739
"Exploracao de Imoveis",20121017,35.12,14228,3911600,120461127
"Exploracao de Imoveis",20121018,34.39,12929,3285400,103398900
"Exploracao de Imoveis",20121019,33.59,15153,3728800,114133680
"Exploracao de Imoveis",20121022,34.99,9662,3981700,122651135
"Exploracao de Imoveis",20121023,34.51,13211,2860800,87192989
"Exploracao de Imoveis",20121024,33.18,24019,5683800,168732706
"Exploracao de Imoveis",20121025,32.06,23784,5149400,149574815
"Exploracao de Imoveis",20121026,32.33,19883,4707300,136085993
"Exploracao de Imoveis",20121029,32.52,11471,3341300,93711843
"Exploracao de Imoveis",20121030,32.98,6354,1687000,47767575
"Exploracao de Imoveis",20121031,32.70,18783,4955700,148223869
"Exploracao de Imoveis",20121101,32.52,15872,3225700,92799762
"Exploracao de Imoveis",20121106,32.10,15300,3981400,116068065
"Exploracao de Imoveis",20121107,32.33,18942,4112600,114281666
"Exploracao de Imoveis",20121108,32.17,12848,3135300,88415870
"Exploracao de Imoveis",20121109,31.93,11811,3056000,83174140
"Exploracao de Imoveis",20121112,31.15,8436,2458500,66560087
"Exploracao de Imoveis",20121113,31.97,17318,5107900,141530621
"Exploracao de Imoveis",20121114,32.17,15770,5257600,147920486
"Exploracao de Imoveis",20121116,32.39,15065,4316400,122814483
"Exploracao de Imoveis",20121119,31.09,10206,2672900,72246223
"Exploracao de Imoveis",20121121,31.90,14705,3752500,101653963
"Exploracao de Imoveis",20121122,32.31,5509,2173900,60701710
"Exploracao de Imoveis",20121123,32.12,10711,2789200,77606217
"Exploracao de Imoveis",20121126,32.33,11838,3495900,103411651
"Exploracao de Imoveis",20121127,32.21,11370,2530200,72878165
"Exploracao de Imoveis",20121128,33.20,19384,4436100,127359333
"Exploracao de Imoveis",20121129,31.70,18609,4764800,137994593
"Exploracao de Imoveis",20121130,32.86,18321,6351300,185163251
"Exploracao de Imoveis",20121203,32.74,18982,4455400,125492004
"Exploracao de Imoveis",20121204,32.39,11072,3120100,89168315
"Exploracao de Imoveis",20121205,32.23,11108,3780800,105081013
"Exploracao de Imoveis",20121206,32.96,13420,4339400,127758164
"Exploracao de Imoveis",20121207,33.12,13914,4438600,127184407
"Exploracao de Imoveis",20121210,33.83,12556,2860100,87195399
"Exploracao de Imoveis",20121211,32.73,19784,6332500,191720962
"Exploracao de Imoveis",20121212,33.23,16484,4147200,121800514
"Exploracao de Imoveis",20121213,32.90,17192,3932700,114034452
"Exploracao de Imoveis",20121214,33.25,11529,3969100,121292294
"Exploracao de Imoveis",20121217,33.68,13233,3863000,116787046
"Exploracao de Imoveis",20121218,32.73,13980,3522500,97911618
"Exploracao de Imoveis",20121219,32.93,18136,6446400,179406474
"Exploracao de Imoveis",20121220,32.89,14159,3675800,108129121
"Exploracao de Imoveis",20121221,32.81,11746,2737200,82457210
"Exploracao de Imoveis",20121226,32.33,6020,1841500,52018842
"Exploracao de Imoveis",20121227,32.89,13427,3377500,94991287
"Exploracao de Imoveis",20121228,32.39,8739,3405300,94711698
"Exploracao de Imoveis",20130102,33.15,11177,2678400,77009030
"Exploracao de Imoveis",20130103,32.50,10502,3400000,96408807
"Exploracao de Imoveis",20130104,32.46,13638,4260400,119418877
"Exploracao de Imoveis",20130107,32.37,13063,2782300,84439488
"Exploracao de Imoveis",20130108,32.89,10195,3985600,115191996
"Exploracao de Imoveis",20130109,31.91,13898,7029800,199393454
"Exploracao de Imoveis",20130110,32.74,22116,6054700,184381477
"Exploracao de Imoveis",20130111,33.08,7638,2455400,74566407
"Exploracao de Imoveis",20130114,32.86,15645,4015300,116267196
