"segmento","hora","media","negocios","quantidade_papeis","volume_financeiro"
"Acucar e Alcool",20080102,16.78,500,753300,15610013
"Acucar e Alcool",20080103,17.01,766,967700,20330812
"Acucar e Alcool",20080104,16.87,965,1478700,30758913
"Acucar e Alcool",20080107,17.74,1011,1312400,28679661
"Acucar e Alcool",20080108,18.82,4199,2765300,64255141
"Acucar e Alcool",20080109,20.24,2860,3320400,82826095
"Acucar e Alcool",20080110,20.07,847,1802100,44725422
"Acucar e Alcool",20080111,19.52,524,1191200,28711619
"Acucar e Alcool",20080114,19.84,822,1806400,44198376
"Acucar e Alcool",20080115,19.20,860,1365100,32427890
"Acucar e Alcool",20080116,18.64,1299,1880200,43234911
"Acucar e Alcool",20080117,18.94,962,1433600,33453934
"Acucar e Alcool",20080118,19.52,1367,2055300,49554851
"Acucar e Alcool",20080121,17.97,740,982100,21859042
"Acucar e Alcool",20080122,17.90,1646,1431800,31576986
"Acucar e Alcool",20080123,17.70,989,1146800,25035680
"Acucar e Alcool",20080124,18.69,844,1191200,27443107
"Acucar e Alcool",20080128,19.32,793,1197900,28565906
"Acucar e Alcool",20080129,20.26,1196,1167800,29114030
"Acucar e Alcool",20080130,20.76,1343,2238100,58728680
"Acucar e Alcool",20080131,21.75,2013,2440500,65495039
"Acucar e Alcool",20080201,22.28,1701,2079300,57192447
"Acucar e Alcool",20080206,20.50,1301,1504300,38165567
"Acucar e Alcool",20080207,19.68,1171,1410500,34206818
"Acucar e Alcool",20080208,19.42,1207,2408500,58066051
"Acucar e Alcool",20080211,20.23,708,1435200,35845666
"Acucar e Alcool",20080212,21.13,974,1423100,37069405
"Acucar e Alcool",20080213,21.52,1978,2409000,64185813
"Acucar e Alcool",20080214,21.79,861,1222500,32859437
"Acucar e Alcool",20080215,21.88,1094,878700,23753948
"Acucar e Alcool",20080218,22.51,749,791500,22085767
"Acucar e Alcool",20080219,22.33,892,926800,25578138
"Acucar e Alcool",20080220,21.67,1230,1423500,38310117
"Acucar e Alcool",20080221,22.73,1487,1345800,37750866
"Acucar e Alcool",20080222,22.69,1507,1410000,39545600
"Acucar e Alcool",20080225,22.57,592,1215900,33828738
"Acucar e Alcool",20080226,22.76,1069,1362100,38276583
"Acucar e Alcool",20080227,23.21,729,901900,25734014
"Acucar e Alcool",20080228,22.84,661,824000,23192056
"Acucar e Alcool",20080229,23.26,1770,2042800,58630889
"Acucar e Alcool",20080303,23.98,1228,1250400,36871334
"Acucar e Alcool",20080304,24.52,1865,2379500,71901867
"Acucar e Alcool",20080305,25.29,1681,1742800,54287568
"Acucar e Alcool",20080306,24.93,1438,1081600,33272016
"Acucar e Alcool",20080307,23.48,1069,815300,23623876
"Acucar e Alcool",20080310,23.33,1544,1280900,36876201
"Acucar e Alcool",20080311,23.58,1049,1005000,29179230
"Acucar e Alcool",20080312,23.65,1212,939300,27498573
"Acucar e Alcool",20080313,22.60,925,840200,23388464
"Acucar e Alcool",20080314,21.56,1754,1781500,47451534
"Acucar e Alcool",20080317,20.49,1045,1038300,26185283
"Acucar e Alcool",20080318,21.37,1105,1134700,29849795
"Acucar e Alcool",20080319,20.82,1093,1243500,31891871
"Acucar e Alcool",20080320,20.23,1483,2034200,50664031
"Acucar e Alcool",20080324,20.48,1095,852800,21635565
"Acucar e Alcool",20080325,20.59,1004,928100,23613709
"Acucar e Alcool",20080326,20.90,931,1009400,26201247
"Acucar e Alcool",20080327,20.77,858,762400,19550590
"Acucar e Alcool",20080328,20.37,749,600600,15100446
"Acucar e Alcool",20080331,20.69,703,730300,18674516
"Acucar e Alcool",20080401,20.84,978,1088300,28048864
"Acucar e Alcool",20080402,20.79,1269,855900,21960867
"Acucar e Alcool",20080403,20.84,991,1033700,26644689
"Acucar e Alcool",20080404,20.93,714,676000,17598245
"Acucar e Alcool",20080407,21.16,926,926800,24221250
"Acucar e Alcool",20080408,20.38,1175,1618700,40674633
"Acucar e Alcool",20080409,19.33,2201,2551200,60603106
"Acucar e Alcool",20080410,19.20,1217,2094800,49412926
"Acucar e Alcool",20080411,19.18,686,1026400,24261251
"Acucar e Alcool",20080414,19.31,800,875200,20822911
"Acucar e Alcool",20080415,19.74,996,1231500,29953817
"Acucar e Alcool",20080416,20.99,2610,2818000,72852485
"Acucar e Alcool",20080417,21.78,1150,868700,23348693
"Acucar e Alcool",20080418,22.02,738,813700,22040873
"Acucar e Alcool",20080422,22.03,809,985000,26785261
"Acucar e Alcool",20080423,21.84,800,685100,18428238
"Acucar e Alcool",20080424,21.33,1708,1862800,49114704
"Acucar e Alcool",20080425,21.38,1104,1295600,34249341
"Acucar e Alcool",20080428,21.82,860,972000,26138602
"Acucar e Alcool",20080429,21.62,831,939800,25044816
"Acucar e Alcool",20080430,21.75,1603,2336800,65028070
"Acucar e Alcool",20080502,22.97,1910,1690900,48185001
"Acucar e Alcool",20080505,22.86,943,715900,20209846
"Acucar e Alcool",20080506,22.24,1140,1259300,34554773
"Acucar e Alcool",20080507,21.43,1547,776400,20500660
"Acucar e Alcool",20080508,21.26,711,478200,12540195
"Acucar e Alcool",20080509,21.90,1248,865700,23422291
"Acucar e Alcool",20080512,22.89,920,567100,16009405
"Acucar e Alcool",20080513,22.86,845,685500,19392483
"Acucar e Alcool",20080514,22.58,649,771700,21537256
"Acucar e Alcool",20080515,22.55,856,733700,20402038
"Acucar e Alcool",20080516,22.58,714,806700,22472326
"Acucar e Alcool",20080519,22.34,774,706700,19454418
"Acucar e Alcool",20080520,22.02,511,748500,20335398
"Acucar e Alcool",20080521,22.17,706,696400,19104342
"Acucar e Alcool",20080523,21.57,618,590200,15657259
"Acucar e Alcool",20080526,21.17,553,419400,10945206
"Acucar e Alcool",20080527,20.48,1154,856800,21613018
"Acucar e Alcool",20080528,20.97,1359,813300,21037654
"Acucar e Alcool",20080529,21.19,825,478500,12490853
"Acucar e Alcool",20080530,20.69,1145,871500,22257027
"Acucar e Alcool",20080602,20.35,897,675800,16949062
"Acucar e Alcool",20080603,20.01,1006,567200,13997794
"Acucar e Alcool",20080604,19.43,833,702700,16851986
"Acucar e Alcool",20080605,19.69,895,736600,17979798
"Acucar e Alcool",20080606,20.24,975,962300,24122005
"Acucar e Alcool",20080609,20.32,749,495400,12452613
"Acucar e Alcool",20080610,20.61,891,871100,22171562
"Acucar e Alcool",20080611,20.86,992,721100,18574294
"Acucar e Alcool",20080612,21.29,1148,925100,24301690
"Acucar e Alcool",20080613,21.46,555,538700,14261132
"Acucar e Alcool",20080616,21.69,699,1253500,33607942
"Acucar e Alcool",20080617,22.25,926,859600,23593408
"Acucar e Alcool",20080618,22.46,2030,1032600,28642526
"Acucar e Alcool",20080619,21.99,650,823400,22248451
"Acucar e Alcool",20080620,22.33,669,1166100,32251798
"Acucar e Alcool",20080623,22.05,497,552000,15137120
"Acucar e Alcool",20080624,22.80,853,1319000,37202420
"Acucar e Alcool",20080625,22.97,781,613700,17376777
"Acucar e Alcool",20080626,22.09,838,1165100,31837155
"Acucar e Alcool",20080627,22.15,485,922000,25135235
"Acucar e Alcool",20080630,22.29,511,1335700,36764257
"Acucar e Alcool",20080701,22.72,978,1537100,43205389
"Acucar e Alcool",20080702,23.49,1335,2234400,64736271
"Acucar e Alcool",20080703,23.80,1313,1680900,49509652
"Acucar e Alcool",20080704,23.18,802,711100,20291731
"Acucar e Alcool",20080707,24.11,1220,1330900,39643252
"Acucar e Alcool",20080708,24.25,865,1491400,44596543
"Acucar e Alcool",20080710,24.92,1238,1748100,53269978
"Acucar e Alcool",20080711,25.99,1110,1252600,40278187
"Acucar e Alcool",20080714,26.99,1570,1307400,43722932
"Acucar e Alcool",20080715,26.42,1894,1784200,58036092
"Acucar e Alcool",20080716,26.19,1550,1290000,41668204
"Acucar e Alcool",20080717,24.94,1395,1113600,34305920
"Acucar e Alcool",20080718,24.63,873,838700,25422651
"Acucar e Alcool",20080721,24.85,938,507200,15565694
"Acucar e Alcool",20080722,24.31,1466,1705800,51253463
"Acucar e Alcool",20080723,24.01,1142,661200,19567017
"Acucar e Alcool",20080724,24.07,2141,1849800,55190024
"Acucar e Alcool",20080725,24.05,915,1035300,30787533
"Acucar e Alcool",20080728,24.26,507,422500,12672058
"Acucar e Alcool",20080729,24.68,1138,680800,20682454
"Acucar e Alcool",20080730,25.33,1097,1573400,49127447
"Acucar e Alcool",20080731,24.97,798,1520300,46881225
"Acucar e Alcool",20080801,24.61,914,818000,24930061
"Acucar e Alcool",20080804,24.21,627,535000,15956232
"Acucar e Alcool",20080805,23.21,1762,1126600,32357632
"Acucar e Alcool",20080806,22.87,892,717100,20152099
"Acucar e Alcool",20080807,23.05,557,396000,11256478
"Acucar e Alcool",20080808,23.08,656,406600,11582134
"Acucar e Alcool",20080811,23.53,1236,1408100,40791823
"Acucar e Alcool",20080812,23.24,1015,913400,26335173
"Acucar e Alcool",20080813,22.60,2867,1538800,42589116
"Acucar e Alcool",20080814,22.92,477,583000,16515531
"Acucar e Alcool",20080815,22.50,1207,874800,24102472
"Acucar e Alcool",20080818,22.05,615,665800,18091829
"Acucar e Alcool",20080819,22.24,963,638400,17505935
"Acucar e Alcool",20080820,22.37,629,587600,16239792
"Acucar e Alcool",20080821,22.42,555,535300,14789509
"Acucar e Alcool",20080822,22.20,519,279700,7629003
"Acucar e Alcool",20080825,21.87,448,222800,6000270
"Acucar e Alcool",20080826,21.83,425,227500,6116531
"Acucar e Alcool",20080827,22.07,626,725300,19757340
"Acucar e Alcool",20080828,21.85,580,379900,10256786
"Acucar e Alcool",20080829,21.01,1419,1573900,40777809
"Acucar e Alcool",20080901,20.60,493,396600,10046664
"Acucar e Alcool",20080902,19.87,1132,677700,16587305
"Acucar e Alcool",20080903,19.24,1048,779900,18376479
"Acucar e Alcool",20080904,18.50,957,816900,18651905
"Acucar e Alcool",20080905,18.65,978,520900,11977337
"Acucar e Alcool",20080908,17.91,1146,823900,18108928
"Acucar e Alcool",20080909,15.63,3405,3141000,60983584
"Acucar e Alcool",20080910,14.36,1813,2866500,50723555
"Acucar e Alcool",20080911,14.60,1418,1795000,31413701
"Acucar e Alcool",20080912,15.79,1251,2114400,41201015
"Acucar e Alcool",20080915,14.87,890,503000,9210781
"Acucar e Alcool",20080916,13.75,2045,2133500,35971867
"Acucar e Alcool",20080917,12.72,1574,1468600,23206556
"Acucar e Alcool",20080918,11.31,2710,2846200,39395778
"Acucar e Alcool",20080919,13.15,1495,1192500,19339755
"Acucar e Alcool",20080922,12.55,1195,940400,14584141
"Acucar e Alcool",20080923,11.50,1474,943500,13173886
"Acucar e Alcool",20080924,10.70,1360,1364200,18005557
"Acucar e Alcool",20080925,10.56,1589,2577700,33486029
"Acucar e Alcool",20080926,10.85,1509,1632700,21489299
"Acucar e Alcool",20080929,10.67,1331,850000,11169082
"Acucar e Alcool",20080930,10.51,1571,1551300,20115097
"Acucar e Alcool",20081001,10.65,1046,1667400,21817811
"Acucar e Alcool",20081002,10.29,877,670100,8466596
"Acucar e Alcool",20081003,10.94,786,538000,7250711
"Acucar e Alcool",20081006,9.41,614,533700,6174561
"Acucar e Alcool",20081007,9.28,731,669900,7676944
"Acucar e Alcool",20081008,9.52,967,1396800,16271984
"Acucar e Alcool",20081009,10.07,948,694400,8661719
"Acucar e Alcool",20081010,9.19,807,825200,9333101
"Acucar e Alcool",20081013,9.88,1086,1242600,15115862
"Acucar e Alcool",20081014,10.07,1222,1093900,13576711
"Acucar e Alcool",20081015,9.19,1244,819300,9163773
"Acucar e Alcool",20081016,8.85,1070,767500,8313228
"Acucar e Alcool",20081017,8.57,686,620100,6497261
"Acucar e Alcool",20081020,8.73,644,398400,4377872
"Acucar e Alcool",20081021,9.44,904,584600,6789501
"Acucar e Alcool",20081022,8.71,960,1087000,11612115
"Acucar e Alcool",20081023,8.39,733,705900,7305728
"Acucar e Alcool",20081024,7.29,1230,1354700,12164277
"Acucar e Alcool",20081027,6.92,691,766200,6564766
"Acucar e Alcool",20081028,7.89,1079,1073000,10634355
"Acucar e Alcool",20081029,8.68,992,603900,6502561
"Acucar e Alcool",20081030,9.25,1079,706000,8022646
"Acucar e Alcool",20081031,8.75,815,1636300,17652649
"Acucar e Alcool",20081103,8.49,451,274600,2878202
"Acucar e Alcool",20081104,8.80,1443,708200,7701862
"Acucar e Alcool",20081105,9.14,1012,690900,7757511
"Acucar e Alcool",20081106,8.95,611,401000,4425049
"Acucar e Alcool",20081107,9.36,665,594500,6910517
"Acucar e Alcool",20081110,9.32,856,713800,8213573
"Acucar e Alcool",20081111,8.78,606,317200,3441145
"Acucar e Alcool",20081112,8.41,1248,1305700,13536045
"Acucar e Alcool",20081113,8.60,973,562000,5905470
"Acucar e Alcool",20081114,8.67,444,260200,2798594
"Acucar e Alcool",20081117,9.02,695,293700,3274374
"Acucar e Alcool",20081118,9.05,458,389300,4352025
"Acucar e Alcool",20081119,8.46,535,461000,4788193
"Acucar e Alcool",20081121,7.82,633,937100,8992361
"Acucar e Alcool",20081124,7.94,1134,674100,6608525
"Acucar e Alcool",20081125,8.29,720,522300,5368487
"Acucar e Alcool",20081126,8.54,951,892500,9279403
"Acucar e Alcool",20081127,8.90,269,145400,1596227
"Acucar e Alcool",20081128,9.10,613,391100,4384738
"Acucar e Alcool",20081201,8.43,800,482000,5003926
"Acucar e Alcool",20081202,8.38,769,395900,4096496
"Acucar e Alcool",20081203,8.02,1090,608900,6014484
"Acucar e Alcool",20081204,7.98,837,278600,2740659
"Acucar e Alcool",20081205,7.61,1242,769300,7192303
"Acucar e Alcool",20081208,7.90,1251,816500,7961386
"Acucar e Alcool",20081209,7.93,866,637700,6240457
"Acucar e Alcool",20081210,7.87,582,613800,5969599
"Acucar e Alcool",20081211,8.01,1979,1683700,16719087
"Acucar e Alcool",20081212,8.39,866,823400,8604899
"Acucar e Alcool",20081215,8.35,1037,1042600,10821218
"Acucar e Alcool",20081216,8.61,807,1417400,15129887
"Acucar e Alcool",20081217,9.02,2620,2753400,30747454
"Acucar e Alcool",20081218,9.28,756,818400,9387323
"Acucar e Alcool",20081219,9.07,715,654900,7340088
"Acucar e Alcool",20081222,9.35,941,488600,5631822
"Acucar e Alcool",20081223,9.25,637,587400,6689326
"Acucar e Alcool",20081226,9.06,316,269700,3015796
"Acucar e Alcool",20081229,8.84,1486,1168600,12803570
"Acucar e Alcool",20081230,9.04,683,957200,10712060
"Acucar e Alcool",20090102,9.04,766,483900,5390185
"Acucar e Alcool",20090105,9.28,906,1014000,11641538
"Acucar e Alcool",20090106,10.12,852,869700,10951302
"Acucar e Alcool",20090107,10.20,491,420700,5314852
"Acucar e Alcool",20090108,10.07,742,561300,7011756
"Acucar e Alcool",20090109,10.18,901,657300,8272464
"Acucar e Alcool",20090112,9.57,1158,871500,10229719
"Acucar e Alcool",20090113,9.43,509,444100,5133961
"Acucar e Alcool",20090114,8.80,815,899100,9714107
"Acucar e Alcool",20090115,8.48,1011,498400,5211157
"Acucar e Alcool",20090116,8.74,692,645400,7009397
"Acucar e Alcool",20090119,8.43,501,236600,2463216
"Acucar e Alcool",20090120,8.13,832,969800,9801573
"Acucar e Alcool",20090121,8.07,702,788200,7856734
"Acucar e Alcool",20090122,7.69,1435,1290400,12196440
"Acucar e Alcool",20090123,7.51,1004,786500,7350973
"Acucar e Alcool",20090126,7.76,660,530600,5090725
"Acucar e Alcool",20090127,7.88,633,1003900,9798545
"Acucar e Alcool",20090128,8.41,1381,1209500,12564126
"Acucar e Alcool",20090129,8.50,898,727100,7607445
"Acucar e Alcool",20090130,8.48,740,1162800,12146792
"Acucar e Alcool",20090202,8.26,735,447900,4580196
"Acucar e Alcool",20090203,8.46,952,1496000,15632073
"Acucar e Alcool",20090204,8.38,1322,1495300,15507487
"Acucar e Alcool",20090205,8.43,792,751400,7820094
"Acucar e Alcool",20090206,8.73,2402,2580100,27914069
"Acucar e Alcool",20090209,9.58,2004,1759100,20815096
"Acucar e Alcool",20090210,9.24,1441,1076100,12268378
"Acucar e Alcool",20090211,8.73,951,1512100,16330221
"Acucar e Alcool",20090212,8.70,557,921300,9888781
"Acucar e Alcool",20090213,9.02,637,1041500,11600512
"Acucar e Alcool",20090216,8.86,280,454100,5012036
"Acucar e Alcool",20090217,8.75,734,679100,7321315
"Acucar e Alcool",20090218,8.49,1301,884400,9232536
"Acucar e Alcool",20090219,8.47,744,1074000,11215474
"Acucar e Alcool",20090220,8.27,1130,891100,9073886
"Acucar e Alcool",20090225,8.12,503,454400,4557928
"Acucar e Alcool",20090226,8.24,609,826000,8407783
"Acucar e Alcool",20090227,8.20,1359,893600,9091738
"Acucar e Alcool",20090302,7.98,1029,830800,8184026
"Acucar e Alcool",20090303,7.73,1674,1015500,9711943
"Acucar e Alcool",20090304,7.86,1083,1226200,11910738
"Acucar e Alcool",20090305,7.67,632,1119600,10657037
"Acucar e Alcool",20090306,8.07,815,577500,5745114
"Acucar e Alcool",20090309,7.88,664,974800,9406377
"Acucar e Alcool",20090310,8.14,1077,1021300,10309993
"Acucar e Alcool",20090311,8.52,1232,786300,8260051
"Acucar e Alcool",20090312,8.56,1144,683500,7238032
"Acucar e Alcool",20090313,8.73,1064,1696000,18255597
"Acucar e Alcool",20090316,8.72,1020,808700,8696932
"Acucar e Alcool",20090317,8.62,676,323300,3422744
"Acucar e Alcool",20090318,8.69,729,392600,4227423
"Acucar e Alcool",20090319,8.92,3263,907200,9994810
"Acucar e Alcool",20090320,8.84,531,490700,5359619
"Acucar e Alcool",20090323,8.74,1170,1515200,16237862
"Acucar e Alcool",20090324,8.45,1465,2372200,24808251
"Acucar e Alcool",20090325,8.38,1401,2316900,23894969
"Acucar e Alcool",20090326,8.43,838,1212000,12561682
"Acucar e Alcool",20090327,8.45,1157,581100,6038976
"Acucar e Alcool",20090330,8.20,945,572900,5792078
"Acucar e Alcool",20090331,7.95,2407,1967400,19194726
"Acucar e Alcool",20090401,7.79,2485,1684200,16255814
"Acucar e Alcool",20090402,8.66,2278,2466900,26635642
"Acucar e Alcool",20090403,9.66,2768,5442400,66431546
"Acucar e Alcool",20090406,10.31,1289,1829900,23218128
"Acucar e Alcool",20090407,11.09,2452,2410600,32906084
"Acucar e Alcool",20090408,11.11,1397,1833500,25100469
"Acucar e Alcool",20090409,11.78,1785,1554800,22630375
"Acucar e Alcool",20090413,11.89,1566,2040200,29974377
"Acucar e Alcool",20090414,11.64,1583,1347400,19443420
"Acucar e Alcool",20090415,11.56,1347,1113900,15843348
"Acucar e Alcool",20090416,11.55,1131,888600,12647480
"Acucar e Alcool",20090417,10.42,4041,6498900,83364770
"Acucar e Alcool",20090420,9.57,2196,4143800,49010295
"Acucar e Alcool",20090422,10.26,3640,3141200,39735461
"Acucar e Alcool",20090423,10.47,1422,1404800,18144820
"Acucar e Alcool",20090424,10.39,1253,1028200,13178570
"Acucar e Alcool",20090427,10.48,1209,1604800,20831206
"Acucar e Alcool",20090428,11.09,2100,2644600,36349575
"Acucar e Alcool",20090429,11.40,2255,1987400,28062785
"Acucar e Alcool",20090430,10.92,1419,1317200,17773261
"Acucar e Alcool",20090504,11.36,1206,1077800,15161163
"Acucar e Alcool",20090505,11.32,780,1118900,15623326
"Acucar e Alcool",20090506,12.19,3084,2945000,44341591
"Acucar e Alcool",20090507,12.84,5115,3373500,53155937
"Acucar e Alcool",20090508,13.33,1846,1677100,27671289
"Acucar e Alcool",20090511,12.95,1970,1506100,23982911
"Acucar e Alcool",20090512,12.42,1427,1828200,28009416
"Acucar e Alcool",20090513,11.78,2109,1976700,28817154
"Acucar e Alcool",20090514,12.05,867,699200,10385580
"Acucar e Alcool",20090515,11.79,1134,761700,11066201
"Acucar e Alcool",20090518,12.03,1435,1127100,16710448
"Acucar e Alcool",20090519,12.50,2044,1698200,26257237
"Acucar e Alcool",20090520,12.37,2668,1280300,19573468
"Acucar e Alcool",20090521,11.87,1494,994400,14531220
"Acucar e Alcool",20090522,11.84,868,567000,8287228
"Acucar e Alcool",20090525,12.02,377,164800,2447087
"Acucar e Alcool",20090526,12.29,1287,854100,12953409
"Acucar e Alcool",20090527,12.53,1924,1736500,26756709
"Acucar e Alcool",20090528,12.31,2098,556000,8436928
"Acucar e Alcool",20090529,12.42,1768,1440400,22388461
"Acucar e Alcool",20090601,13.12,1583,773700,12516393
"Acucar e Alcool",20090602,13.13,4411,1668700,27131835
"Acucar e Alcool",20090603,12.83,2027,1561000,24727717
"Acucar e Alcool",20090604,12.76,820,719600,11307358
"Acucar e Alcool",20090605,12.62,1730,956000,14851960
"Acucar e Alcool",20090608,12.38,1231,672000,10254663
"Acucar e Alcool",20090609,12.48,855,673700,10388187
"Acucar e Alcool",20090610,12.51,988,647800,10021141
"Acucar e Alcool",20090612,13.03,1697,1247800,20059945
"Acucar e Alcool",20090615,12.92,1706,1634500,26125950
"Acucar e Alcool",20090616,13.07,1799,1169100,18897628
"Acucar e Alcool",20090617,12.28,3790,2124900,32100502
"Acucar e Alcool",20090618,11.56,2934,2419500,34574506
"Acucar e Alcool",20090619,11.32,2464,2022900,28230769
"Acucar e Alcool",20090622,10.81,2202,1211900,16196605
"Acucar e Alcool",20090623,11.47,2504,1758800,24987956
"Acucar e Alcool",20090624,11.89,2620,1113800,16316118
"Acucar e Alcool",20090625,12.16,3001,1589200,23952712
"Acucar e Alcool",20090626,12.18,1897,1159400,17374456
"Acucar e Alcool",20090629,12.03,1695,1352900,20122379
"Acucar e Alcool",20090630,11.72,2225,1035200,14950062
"Acucar e Alcool",20090701,12.04,919,937100,13939525
"Acucar e Alcool",20090702,12.39,1931,1282400,19519524
"Acucar e Alcool",20090703,12.72,1717,778000,12233586
"Acucar e Alcool",20090706,12.76,1659,1195100,18785320
"Acucar e Alcool",20090707,12.72,1567,1308100,20536914
"Acucar e Alcool",20090708,12.22,2551,1482900,22226886
"Acucar e Alcool",20090710,11.68,2599,1177700,16963278
"Acucar e Alcool",20090713,11.54,2094,1244800,17585466
"Acucar e Alcool",20090714,11.39,1958,966100,13602293
"Acucar e Alcool",20090715,11.73,2643,1131700,16367082
"Acucar e Alcool",20090716,11.86,1012,688800,10063739
"Acucar e Alcool",20090717,11.80,886,652200,9428050
"Acucar e Alcool",20090720,12.21,1742,1532200,23088094
"Acucar e Alcool",20090721,12.38,1799,1120300,17127553
"Acucar e Alcool",20090722,12.63,1393,812100,12660015
"Acucar e Alcool",20090723,13.06,4322,2336700,37759786
"Acucar e Alcool",20090724,13.35,2827,1488900,24456480
"Acucar e Alcool",20090727,13.80,4063,1662500,28368766
"Acucar e Alcool",20090728,14.14,3165,1730100,30308815
"Acucar e Alcool",20090729,14.05,1797,1347800,23359860
"Acucar e Alcool",20090730,14.35,1871,1319500,23312069
"Acucar e Alcool",20090731,13.98,2497,1135800,19523019
"Acucar e Alcool",20090803,14.17,2737,1297600,22691893
"Acucar e Alcool",20090804,14.25,2761,1333700,23463099
"Acucar e Alcool",20090805,13.84,2168,902700,15387607
"Acucar e Alcool",20090806,13.96,3311,911000,15716122
"Acucar e Alcool",20090807,14.44,2165,1272900,22656702
"Acucar e Alcool",20090810,15.20,2990,3151600,59043549
"Acucar e Alcool",20090811,15.39,3016,4055300,77001730
"Acucar e Alcool",20090812,15.58,4431,2201200,42342070
"Acucar e Alcool",20090813,15.61,2326,1214500,23416081
"Acucar e Alcool",20090814,15.23,2667,2041300,38386440
"Acucar e Alcool",20090817,14.50,1963,1054600,18864927
"Acucar e Alcool",20090818,15.33,2103,1920000,36370824
"Acucar e Alcool",20090819,15.63,1520,731500,14065274
"Acucar e Alcool",20090820,15.62,1352,960200,18505795
"Acucar e Alcool",20090821,15.58,2234,1121700,21547079
"Acucar e Alcool",20090824,15.62,1673,1068100,20560366
"Acucar e Alcool",20090825,15.76,1705,949200,18455710
"Acucar e Alcool",20090826,16.28,2972,1691700,33954256
"Acucar e Alcool",20090827,16.39,1578,1054700,21382999
"Acucar e Alcool",20090828,17.23,2078,1160800,24643305
"Acucar e Alcool",20090831,17.23,1308,887400,18854409
"Acucar e Alcool",20090901,16.89,1338,585600,12237348
"Acucar e Alcool",20090902,16.65,1976,938100,19302826
"Acucar e Alcool",20090903,16.70,1310,670000,13803584
"Acucar e Alcool",20090904,16.27,2733,1126400,22581023
"Acucar e Alcool",20090908,16.06,2751,1221900,24152363
"Acucar e Alcool",20090909,15.98,2723,1394800,27505602
"Acucar e Alcool",20090910,16.16,2009,1216600,24259090
"Acucar e Alcool",20090911,16.19,2220,1151700,23009267
"Acucar e Alcool",20090914,16.13,2546,2379500,46970978
"Acucar e Alcool",20090915,15.98,2526,1431100,28238419
"Acucar e Alcool",20090916,16.32,2401,1875000,37767132
"Acucar e Alcool",20090917,16.27,1312,829900,16670372
"Acucar e Alcool",20090918,16.16,1417,849600,16957915
"Acucar e Alcool",20090921,16.17,727,566600,11302453
"Acucar e Alcool",20090922,16.64,2694,2969900,60832026
"Acucar e Alcool",20090923,16.53,1752,1027900,20976290
"Acucar e Alcool",20090924,16.04,1887,1329700,26255944
"Acucar e Alcool",20090925,15.76,2070,1593800,30901101
"Acucar e Alcool",20090928,15.93,1291,944700,18563498
"Acucar e Alcool",20090929,15.88,854,780700,15314638
"Acucar e Alcool",20090930,15.91,1453,724600,14230237
"Acucar e Alcool",20091001,15.61,1413,658800,12705932
"Acucar e Alcool",20091002,15.63,1407,722100,13875675
"Acucar e Alcool",20091005,16.22,1445,1259200,25297923
"Acucar e Alcool",20091006,16.84,3305,1577700,32808805
"Acucar e Alcool",20091007,16.59,1869,1284400,26125716
"Acucar e Alcool",20091008,16.46,1516,679100,13778278
"Acucar e Alcool",20091009,16.54,993,342900,6997835
"Acucar e Alcool",20091013,16.81,1855,787800,16364047
"Acucar e Alcool",20091014,16.54,5413,2418800,49362464
"Acucar e Alcool",20091015,16.57,1222,843300,17273486
"Acucar e Alcool",20091016,16.53,1830,803200,16387736
"Acucar e Alcool",20091019,16.76,1658,1162000,24007788
"Acucar e Alcool",20091020,16.05,2370,848400,16826724
"Acucar e Alcool",20091021,16.41,1494,806800,16301338
"Acucar e Alcool",20091022,16.15,1008,581100,11574441
"Acucar e Alcool",20091023,15.91,1481,841600,16519722
"Acucar e Alcool",20091026,15.52,1418,701900,13440262
"Acucar e Alcool",20091027,14.95,2046,1273100,23343734
"Acucar e Alcool",20091028,14.88,2294,1300200,23885098
"Acucar e Alcool",20091029,15.37,1663,878600,16694445
"Acucar e Alcool",20091030,15.29,2704,947300,17822478
"Acucar e Alcool",20091103,14.97,1851,1019000,18831850
"Acucar e Alcool",20091104,15.41,1369,1345700,25567746
"Acucar e Alcool",20091105,15.52,1567,1242400,23780719
"Acucar e Alcool",20091106,16.13,1767,989200,19664138
"Acucar e Alcool",20091109,16.38,2023,1024400,20699052
"Acucar e Alcool",20091110,16.47,1619,876100,17790459
"Acucar e Alcool",20091111,16.46,1492,675900,13726171
"Acucar e Alcool",20091112,16.48,1740,906400,18454135
"Acucar e Alcool",20091113,16.94,2359,1494400,31286506
"Acucar e Alcool",20091116,17.43,1848,1826200,39305901
"Acucar e Alcool",20091117,17.34,2179,1665900,35548784
"Acucar e Alcool",20091118,17.10,2898,1444000,30437890
"Acucar e Alcool",20091119,16.75,1682,914900,18817152
"Acucar e Alcool",20091123,16.57,1439,710200,14448539
"Acucar e Alcool",20091124,16.12,2414,1354300,26816117
"Acucar e Alcool",20091125,16.70,2272,2269000,46634568
"Acucar e Alcool",20091126,16.79,1146,757700,15724529
"Acucar e Alcool",20091127,16.89,2107,864400,18011144
"Acucar e Alcool",20091130,16.94,2611,1335000,27841273
"Acucar e Alcool",20091201,16.93,2619,1163500,24313969
"Acucar e Alcool",20091202,17.46,2721,1693500,36416672
"Acucar e Alcool",20091203,18.05,2705,1537100,34284450
"Acucar e Alcool",20091204,17.74,2258,974500,21328990
