DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu,classes
Thu,SET,1,2005,ESTADAO,16,0,0,0,0,0,0,9,5,2,Levemente Ruim
Fri,SET,2,2005,ESTADAO,5,0,0,0,0,0,0,4,1,0,Bom
Mon,SET,5,2005,ESTADAO,13,0,0,0,0,0,0,10,2,1,Levemente Bom
Tue,SET,6,2005,ESTADAO,17,0,0,0,0,0,0,13,3,1,Bom
Thu,SET,8,2005,ESTADAO,8,0,0,0,0,0,0,6,1,1,Levemente Ruim
Fri,SET,9,2005,ESTADAO,1,0,0,0,0,0,0,1,0,0,Bom
Mon,SET,12,2005,ESTADAO,21,0,0,0,0,0,0,15,4,2,Levemente Ruim
Tue,SET,13,2005,ESTADAO,22,0,0,0,0,0,0,16,2,4,Levemente Ruim
Wed,SET,14,2005,ESTADAO,10,0,0,0,0,0,0,5,1,4,Levemente Bom
Thu,SET,15,2005,ESTADAO,19,0,0,0,0,0,0,9,5,5,Bom
Fri,SET,16,2005,ESTADAO,14,0,0,0,0,0,0,8,4,2,Bom
Mon,SET,19,2005,ESTADAO,15,0,0,0,0,0,0,12,1,2,Levemente Bom
Tue,SET,20,2005,ESTADAO,12,0,0,0,0,0,0,10,0,2,Levemente Ruim
Wed,SET,21,2005,ESTADAO,19,0,0,0,0,0,0,15,2,2,Otimo
Thu,SET,22,2005,ESTADAO,3,0,0,0,0,0,0,3,0,0,Levemente Ruim
Fri,SET,23,2005,ESTADAO,26,0,0,0,0,0,0,17,3,6,Otimo
Mon,SET,26,2005,ESTADAO,18,0,0,0,0,0,0,8,6,4,Levemente Ruim
Tue,SET,27,2005,ESTADAO,7,0,0,0,0,0,0,3,2,2,Levemente Ruim
Wed,SET,28,2005,ESTADAO,12,0,0,0,0,0,0,8,2,2,Bom
Thu,SET,29,2005,FOLHASP,1,0,0,0,0,0,0,0,1,0,Levemente Ruim
Thu,SET,29,2005,ESTADAO,10,0,0,0,0,0,0,6,1,3,Levemente Ruim
Fri,SET,30,2005,FOLHASP,2,0,0,0,0,0,0,0,0,2,Bom
Fri,SET,30,2005,ESTADAO,14,0,0,0,0,0,0,11,2,1,Bom
Mon,OUT,3,2005,ESTADAO,13,0,0,0,0,0,0,9,2,2,Levemente Bom
Tue,OUT,4,2005,ESTADAO,4,0,0,0,0,0,0,3,0,1,Ruim
Wed,OUT,5,2005,ESTADAO,21,0,0,0,0,0,0,15,4,2,Pessimo
Thu,OUT,6,2005,ESTADAO,21,0,0,0,0,0,0,14,5,2,Pessimo
Fri,OUT,7,2005,ESTADAO,5,0,0,0,0,0,0,5,0,0,Otimo
Mon,OUT,10,2005,ESTADAO,14,0,0,0,0,0,0,11,2,1,Bom
Tue,OUT,11,2005,ESTADAO,15,0,0,22,0,0,22,12,3,0,Bom
Thu,OUT,13,2005,ESTADAO,20,0,0,0,0,0,0,11,8,1,Pessimo
Fri,OUT,14,2005,ESTADAO,4,0,0,0,0,0,0,3,1,0,Levemente Ruim
Mon,OUT,17,2005,ESTADAO,11,0,0,0,0,0,0,7,0,4,Bom
Tue,OUT,18,2005,ESTADAO,13,0,0,0,0,0,0,10,0,3,Pessimo
Wed,OUT,19,2005,FOLHASP,1,0,8,20,0,0,28,1,0,0,Levemente Bom
Wed,OUT,19,2005,ESTADAO,15,0,0,0,0,0,0,10,2,3,Levemente Bom
Thu,OUT,20,2005,ESTADAO,14,0,0,0,0,0,0,9,2,3,Pessimo
Fri,OUT,21,2005,ESTADAO,14,0,0,0,0,0,0,8,1,5,Otimo
Mon,OUT,24,2005,ESTADAO,10,0,0,0,0,0,0,8,0,2,Otimo
Tue,OUT,25,2005,ESTADAO,20,0,0,0,0,0,0,12,5,3,Ruim
Wed,OUT,26,2005,ESTADAO,7,0,0,0,0,0,0,5,2,0,Levemente Bom
Thu,OUT,27,2005,ESTADAO,18,0,0,0,0,0,0,15,2,1,Pessimo
Fri,OUT,28,2005,ESTADAO,15,0,0,0,0,0,0,10,4,1,Levemente Bom
Mon,OUT,31,2005,ESTADAO,17,0,0,0,0,0,0,13,3,1,Otimo
Tue,NOV,1,2005,ESTADAO,17,0,0,0,0,0,0,13,3,1,Otimo
Thu,NOV,3,2005,ESTADAO,6,0,0,0,0,0,0,5,1,0,Levemente Bom
Fri,NOV,4,2005,ESTADAO,17,0,0,0,0,0,0,15,0,2,Levemente Ruim
Mon,NOV,7,2005,ESTADAO,15,0,0,0,0,0,0,12,2,1,Levemente Bom
Tue,NOV,8,2005,FOLHASP,1,0,100,730,3,0,833,1,0,0,Levemente Bom
Tue,NOV,8,2005,ESTADAO,12,0,0,0,0,0,0,9,1,2,Levemente Bom
Wed,NOV,9,2005,ESTADAO,11,0,0,0,0,0,0,8,1,2,Levemente Ruim
Thu,NOV,10,2005,ESTADAO,16,0,0,0,0,0,0,11,2,3,Levemente Bom
Fri,NOV,11,2005,ESTADAO,5,0,0,0,0,0,0,5,0,0,Levemente Ruim
Mon,NOV,14,2005,ESTADAO,15,0,0,0,0,0,0,13,0,2,Levemente Ruim
Wed,NOV,16,2005,ESTADAO,11,0,0,0,0,0,0,8,0,3,Levemente Bom
Thu,NOV,17,2005,ESTADAO,11,0,0,0,0,0,0,7,1,3,Bom
