data,G1,FOLHASP,ESTADAO
2000,0,1211,1831
2001,0,0,2472
2002,0,5,12193
2003,0,0,5810
2004,0,1,4948
2005,0,8,3245
2006,0,1,7190
2007,0,7744,7377
2008,0,15014,13315
2009,0,15063,14884
2010,1913,14511,23779
2011,60737,13430,24526
2012,61090,16905,20834
2013,45055,17982,15273
2014,15060,10362,12639
2015,1878,1434,1080
